#    L    TT             EE             BB             TE             PP             TP             EP          
   134   0.386299E+04   0.114727E+01   0.000000E+00  -0.441187E+02   0.880353E-07   0.265350E-03  -0.116169E-05
   135   0.389776E+04   0.114930E+01   0.000000E+00  -0.444822E+02   0.875321E-07   0.262798E-03  -0.115907E-05
   136   0.393247E+04   0.115081E+01   0.000000E+00  -0.448268E+02   0.870329E-07   0.260281E-03  -0.115582E-05
   137   0.396712E+04   0.115179E+01   0.000000E+00  -0.451519E+02   0.865374E-07   0.257799E-03  -0.115198E-05
   138   0.400169E+04   0.115224E+01   0.000000E+00  -0.454572E+02   0.860458E-07   0.255351E-03  -0.114760E-05
   139   0.403617E+04   0.115217E+01   0.000000E+00  -0.457422E+02   0.855580E-07   0.252936E-03  -0.114271E-05
   140   0.407057E+04   0.115157E+01   0.000000E+00  -0.460065E+02   0.850739E-07   0.250555E-03  -0.113735E-05
   141   0.410485E+04   0.115047E+01   0.000000E+00  -0.462498E+02   0.845935E-07   0.248206E-03  -0.113157E-05
   142   0.413903E+04   0.114883E+01   0.000000E+00  -0.464714E+02   0.841168E-07   0.245888E-03  -0.112540E-05
   143   0.417308E+04   0.114668E+01   0.000000E+00  -0.466712E+02   0.836439E-07   0.243602E-03  -0.111889E-05
   144   0.420700E+04   0.114403E+01   0.000000E+00  -0.468486E+02   0.831745E-07   0.241346E-03  -0.111207E-05
   145   0.424077E+04   0.114086E+01   0.000000E+00  -0.470032E+02   0.827089E-07   0.239120E-03  -0.110499E-05
   146   0.427438E+04   0.113719E+01   0.000000E+00  -0.471346E+02   0.822468E-07   0.236923E-03  -0.109769E-05
   147   0.430780E+04   0.113303E+01   0.000000E+00  -0.472424E+02   0.817883E-07   0.234755E-03  -0.109021E-05
   148   0.434103E+04   0.112839E+01   0.000000E+00  -0.473263E+02   0.813334E-07   0.232616E-03  -0.108258E-05
   149   0.437405E+04   0.112326E+01   0.000000E+00  -0.473857E+02   0.808820E-07   0.230504E-03  -0.107486E-05
   150   0.440685E+04   0.111766E+01   0.000000E+00  -0.474203E+02   0.804342E-07   0.228419E-03  -0.106708E-05
   151   0.443940E+04   0.111160E+01   0.000000E+00  -0.474297E+02   0.799898E-07   0.226360E-03  -0.105927E-05
   152   0.447170E+04   0.110508E+01   0.000000E+00  -0.474136E+02   0.795489E-07   0.224328E-03  -0.105142E-05
   153   0.450375E+04   0.109812E+01   0.000000E+00  -0.473719E+02   0.791115E-07   0.222321E-03  -0.104352E-05
   154   0.453554E+04   0.109074E+01   0.000000E+00  -0.473043E+02   0.786775E-07   0.220339E-03  -0.103555E-05
   155   0.456706E+04   0.108294E+01   0.000000E+00  -0.472106E+02   0.782469E-07   0.218382E-03  -0.102749E-05
   156   0.459833E+04   0.107474E+01   0.000000E+00  -0.470905E+02   0.778198E-07   0.216450E-03  -0.101933E-05
   157   0.462931E+04   0.106614E+01   0.000000E+00  -0.469439E+02   0.773959E-07   0.214542E-03  -0.101105E-05
   158   0.466002E+04   0.105718E+01   0.000000E+00  -0.467705E+02   0.769754E-07   0.212658E-03  -0.100263E-05
   159   0.469045E+04   0.104785E+01   0.000000E+00  -0.465701E+02   0.765583E-07   0.210797E-03  -0.994058E-06
   160   0.472057E+04   0.103818E+01   0.000000E+00  -0.463426E+02   0.761445E-07   0.208959E-03  -0.985314E-06
   161   0.475037E+04   0.102818E+01   0.000000E+00  -0.460877E+02   0.757339E-07   0.207143E-03  -0.976381E-06
   162   0.477985E+04   0.101787E+01   0.000000E+00  -0.458053E+02   0.753266E-07   0.205350E-03  -0.967243E-06
   163   0.480899E+04   0.100729E+01   0.000000E+00  -0.454952E+02   0.749225E-07   0.203579E-03  -0.957883E-06
   164   0.483777E+04   0.996428E+00   0.000000E+00  -0.451573E+02   0.745217E-07   0.201829E-03  -0.948284E-06
   165   0.486619E+04   0.985312E+00   0.000000E+00  -0.447914E+02   0.741240E-07   0.200100E-03  -0.938429E-06
   166   0.489424E+04   0.973965E+00   0.000000E+00  -0.443974E+02   0.737295E-07   0.198392E-03  -0.928301E-06
   167   0.492190E+04   0.962411E+00   0.000000E+00  -0.439752E+02   0.733382E-07   0.196704E-03  -0.917884E-06
   168   0.494918E+04   0.950674E+00   0.000000E+00  -0.435248E+02   0.729501E-07   0.195037E-03  -0.907159E-06
   169   0.497605E+04   0.938776E+00   0.000000E+00  -0.430462E+02   0.725650E-07   0.193388E-03  -0.896111E-06
   170   0.500252E+04   0.926734E+00   0.000000E+00  -0.425394E+02   0.721830E-07   0.191759E-03  -0.884723E-06
   171   0.502857E+04   0.914580E+00   0.000000E+00  -0.420041E+02   0.718042E-07   0.190149E-03  -0.872977E-06
   172   0.505421E+04   0.902335E+00   0.000000E+00  -0.414405E+02   0.714283E-07   0.188557E-03  -0.860858E-06
   173   0.507941E+04   0.890024E+00   0.000000E+00  -0.408486E+02   0.710555E-07   0.186984E-03  -0.848347E-06
   174   0.510416E+04   0.877671E+00   0.000000E+00  -0.402283E+02   0.706857E-07   0.185428E-03  -0.835428E-06
   175   0.512846E+04   0.865313E+00   0.000000E+00  -0.395798E+02   0.703190E-07   0.183889E-03  -0.822084E-06
   176   0.515231E+04   0.852966E+00   0.000000E+00  -0.389031E+02   0.699552E-07   0.182367E-03  -0.808305E-06
   177   0.517569E+04   0.840670E+00   0.000000E+00  -0.381982E+02   0.695943E-07   0.180862E-03  -0.794111E-06
   178   0.519858E+04   0.828449E+00   0.000000E+00  -0.374652E+02   0.692364E-07   0.179373E-03  -0.779526E-06
   179   0.522100E+04   0.816325E+00   0.000000E+00  -0.367042E+02   0.688813E-07   0.177900E-03  -0.764575E-06
   180   0.524292E+04   0.804339E+00   0.000000E+00  -0.359154E+02   0.685291E-07   0.176443E-03  -0.749286E-06
   181   0.526434E+04   0.792522E+00   0.000000E+00  -0.350990E+02   0.681798E-07   0.175001E-03  -0.733682E-06
   182   0.528526E+04   0.780904E+00   0.000000E+00  -0.342552E+02   0.678332E-07   0.173574E-03  -0.717789E-06
   183   0.530567E+04   0.769510E+00   0.000000E+00  -0.333840E+02   0.674894E-07   0.172162E-03  -0.701634E-06
   184   0.532555E+04   0.758379E+00   0.000000E+00  -0.324859E+02   0.671484E-07   0.170765E-03  -0.685242E-06
   185   0.534490E+04   0.747550E+00   0.000000E+00  -0.315607E+02   0.668102E-07   0.169382E-03  -0.668637E-06
   186   0.536372E+04   0.737045E+00   0.000000E+00  -0.306090E+02   0.664746E-07   0.168012E-03  -0.651846E-06
   187   0.538200E+04   0.726899E+00   0.000000E+00  -0.296308E+02   0.661417E-07   0.166656E-03  -0.634895E-06
   188   0.539974E+04   0.717152E+00   0.000000E+00  -0.286264E+02   0.658114E-07   0.165313E-03  -0.617808E-06
   189   0.541691E+04   0.707837E+00   0.000000E+00  -0.275961E+02   0.654837E-07   0.163983E-03  -0.600611E-06
   190   0.543352E+04   0.698990E+00   0.000000E+00  -0.265403E+02   0.651587E-07   0.162666E-03  -0.583329E-06
   191   0.544957E+04   0.690645E+00   0.000000E+00  -0.254592E+02   0.648361E-07   0.161361E-03  -0.565989E-06
   192   0.546503E+04   0.682839E+00   0.000000E+00  -0.243531E+02   0.645162E-07   0.160068E-03  -0.548615E-06
   193   0.547991E+04   0.675606E+00   0.000000E+00  -0.232222E+02   0.641987E-07   0.158786E-03  -0.531234E-06
   194   0.549421E+04   0.668983E+00   0.000000E+00  -0.220671E+02   0.638837E-07   0.157516E-03  -0.513870E-06
   195   0.550791E+04   0.663009E+00   0.000000E+00  -0.208879E+02   0.635712E-07   0.156257E-03  -0.496549E-06
   196   0.552101E+04   0.657720E+00   0.000000E+00  -0.196854E+02   0.632610E-07   0.155009E-03  -0.479296E-06
   197   0.553352E+04   0.653155E+00   0.000000E+00  -0.184597E+02   0.629533E-07   0.153771E-03  -0.462138E-06
   198   0.554544E+04   0.649352E+00   0.000000E+00  -0.172112E+02   0.626480E-07   0.152543E-03  -0.445099E-06
   199   0.555674E+04   0.646348E+00   0.000000E+00  -0.159405E+02   0.623450E-07   0.151325E-03  -0.428205E-06
   200   0.556744E+04   0.644180E+00   0.000000E+00  -0.146480E+02   0.620443E-07   0.150117E-03  -0.411481E-06
   201   0.557752E+04   0.642887E+00   0.000000E+00  -0.133339E+02   0.617459E-07   0.148918E-03  -0.394948E-06
   202   0.558699E+04   0.642503E+00   0.000000E+00  -0.119990E+02   0.614498E-07   0.147728E-03  -0.378606E-06
   203   0.559580E+04   0.643063E+00   0.000000E+00  -0.106436E+02   0.611559E-07   0.146547E-03  -0.362449E-06
   204   0.560399E+04   0.644601E+00   0.000000E+00  -0.926803E+01   0.608642E-07   0.145375E-03  -0.346472E-06
   205   0.561151E+04   0.647151E+00   0.000000E+00  -0.787296E+01   0.605748E-07   0.144212E-03  -0.330671E-06
   206   0.561837E+04   0.650747E+00   0.000000E+00  -0.645875E+01   0.602876E-07   0.143057E-03  -0.315040E-06
   207   0.562457E+04   0.655424E+00   0.000000E+00  -0.502583E+01   0.600025E-07   0.141912E-03  -0.299574E-06
   208   0.563008E+04   0.661216E+00   0.000000E+00  -0.357484E+01   0.597196E-07   0.140775E-03  -0.284268E-06
   209   0.563496E+04   0.668157E+00   0.000000E+00  -0.210635E+01   0.594389E-07   0.139647E-03  -0.269116E-06
   210   0.563917E+04   0.676281E+00   0.000000E+00  -0.620979E+00   0.591602E-07   0.138528E-03  -0.254115E-06
   211   0.564274E+04   0.685624E+00   0.000000E+00   0.880699E+00   0.588837E-07   0.137417E-03  -0.239257E-06
   212   0.564566E+04   0.696219E+00   0.000000E+00   0.239807E+01   0.586093E-07   0.136315E-03  -0.224539E-06
   213   0.564796E+04   0.708100E+00   0.000000E+00   0.393055E+01   0.583369E-07   0.135221E-03  -0.209955E-06
   214   0.564963E+04   0.721302E+00   0.000000E+00   0.547753E+01   0.580666E-07   0.134136E-03  -0.195500E-06
   215   0.565067E+04   0.735852E+00   0.000000E+00   0.703839E+01   0.577983E-07   0.133059E-03  -0.181169E-06
   216   0.565108E+04   0.751795E+00   0.000000E+00   0.861248E+01   0.575320E-07   0.131990E-03  -0.166957E-06
