#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.185686E+00   0.108896E+07   0.108435E+07  -0.904225E+00  -0.918982E+00   0.359845E+05   0.108398E+07   0.108823E+07   0.108398E+07  -0.289129E-01   0.552470E+06   0.552421E+06   0.874755E-01
   0.190712E+00   0.105311E+07   0.104873E+07  -0.828996E+00  -0.842525E+00   0.333703E+05   0.104831E+07   0.105242E+07   0.104831E+07  -0.279613E-01   0.534289E+06   0.534242E+06   0.818747E-01
   0.195739E+00   0.101517E+07   0.101082E+07  -0.758615E+00  -0.770994E+00   0.308731E+05   0.101052E+07   0.101449E+07   0.101052E+07  -0.269533E-01   0.515030E+06   0.514983E+06   0.793287E-01
   0.200765E+00   0.976202E+06   0.971755E+06  -0.693407E+00  -0.704722E+00   0.285165E+05   0.971679E+06   0.975501E+06   0.971679E+06  -0.259173E-01   0.495236E+06   0.495189E+06   0.785813E-01
   0.205792E+00   0.937693E+06   0.933103E+06  -0.633894E+00  -0.644238E+00   0.263321E+05   0.933294E+06   0.936970E+06   0.933294E+06  -0.248935E-01   0.475674E+06   0.475626E+06   0.782969E-01
   0.210818E+00   0.901132E+06   0.896431E+06  -0.580458E+00  -0.589929E+00   0.243457E+05   0.896855E+06   0.900392E+06   0.896855E+06  -0.239216E-01   0.457104E+06   0.457055E+06   0.773799E-01
   0.215845E+00   0.867778E+06   0.863055E+06  -0.533232E+00  -0.541933E+00   0.225729E+05   0.863625E+06   0.867034E+06   0.863625E+06  -0.230353E-01   0.440169E+06   0.440120E+06   0.751791E-01
   0.220871E+00   0.838402E+06   0.833771E+06  -0.492000E+00  -0.500028E+00   0.210135E+05   0.834376E+06   0.837673E+06   0.834376E+06  -0.222551E-01   0.425262E+06   0.425215E+06   0.715460E-01
   0.225898E+00   0.813035E+06   0.808603E+06  -0.456127E+00  -0.463569E+00   0.196487E+05   0.809137E+06   0.812337E+06   0.809137E+06  -0.215819E-01   0.412399E+06   0.412354E+06   0.667621E-01
   0.230925E+00   0.791002E+06   0.786842E+06  -0.424673E+00  -0.431602E+00   0.184450E+05   0.787231E+06   0.790347E+06   0.787231E+06  -0.209976E-01   0.401234E+06   0.401192E+06   0.613833E-01
   0.235951E+00   0.771231E+06   0.767371E+06  -0.396622E+00  -0.403094E+00   0.173639E+05   0.767582E+06   0.770623E+06   0.767582E+06  -0.204735E-01   0.391220E+06   0.391181E+06   0.560537E-01
   0.240978E+00   0.752574E+06   0.748992E+06  -0.371066E+00  -0.377120E+00   0.163697E+05   0.749040E+06   0.752010E+06   0.749040E+06  -0.199790E-01   0.381770E+06   0.381733E+06   0.513355E-01
   0.246004E+00   0.734035E+06   0.730675E+06  -0.347298E+00  -0.352965E+00   0.154345E+05   0.730607E+06   0.733506E+06   0.730607E+06  -0.194873E-01   0.372376E+06   0.372341E+06   0.475887E-01
